Supplementary table 2.1: Associations between BMI germline PGS and TCGA UCEC tumour gene expression,,,,,
Gene,Beta,Standard error,Z-score,P-value,False discovery rate
EGR2,0.031,0.0596,0.5194,6.04E-01,0.9738
BEGAIN,0.0301,0.0579,0.5192,6.04E-01,0.9738
LOC442421,-0.0328,0.0633,-0.5191,6.04E-01,0.9738
GPR108,-0.0263,0.0506,-0.5189,6.04E-01,0.9738
NUFIP1,-0.0222,0.0428,-0.5189,6.04E-01,0.9738
PRIM1,-0.0259,0.0499,-0.5189,6.04E-01,0.9738
C1orf61,0.0312,0.0602,0.5188,6.04E-01,0.9738
CPNE1,0.0273,0.0527,0.5188,6.04E-01,0.9738
IER5L,-0.034,0.0656,-0.5188,6.04E-01,0.9738
CD2,0.0306,0.059,0.5188,6.04E-01,0.9738
PRND,-0.0318,0.0613,-0.5187,6.04E-01,0.9738
KIAA1529,-0.0319,0.0615,-0.5187,6.04E-01,0.9738
GPC1,0.028,0.054,0.5187,6.04E-01,0.9738
APOC1P1,0.0352,0.0678,0.5185,6.04E-01,0.9738
GC,0.026,0.0501,0.5185,6.04E-01,0.9738
CCDC136,0.0312,0.0601,0.5184,6.05E-01,0.9738
AKR1C3,0.0325,0.0627,0.5184,6.05E-01,0.9738
TMEM212,0.0333,0.0643,0.5182,6.05E-01,0.9738
UBE3A,0.0214,0.0414,0.5182,6.05E-01,0.9738
HIRA,0.0248,0.0479,0.5182,6.05E-01,0.9738
KIAA1377,-0.0303,0.0585,-0.5181,6.05E-01,0.9738
LRTM2,-0.0328,0.0632,-0.518,6.05E-01,0.9738
ARID5A,-0.0296,0.0572,-0.518,6.05E-01,0.9738
TRAP1,0.0277,0.0536,0.5176,6.05E-01,0.974
CDC42BPB,0.0239,0.0462,0.5176,6.05E-01,0.974
UBE2O,0.024,0.0465,0.5171,6.05E-01,0.9743
TNFRSF1A,0.0264,0.0511,0.517,6.05E-01,0.9743
NEU3,0.0272,0.0526,0.517,6.05E-01,0.9743
HCN4,-0.031,0.0599,-0.517,6.06E-01,0.9743
CNGA3,0.0292,0.0565,0.517,6.06E-01,0.9743
CCR9,0.0311,0.0601,0.5169,6.06E-01,0.9743
INCENP,0.0263,0.0509,0.5168,6.06E-01,0.9743
EFNB1,-0.0287,0.0556,-0.5167,6.06E-01,0.9743
UTP3,0.0208,0.0403,0.5167,6.06E-01,0.9743
RABAC1,0.0297,0.0575,0.5166,6.06E-01,0.9743
RHBDD3,0.0267,0.0517,0.5164,6.06E-01,0.9744
OSCP1,0.0288,0.0558,0.5162,6.06E-01,0.9746
TMEM49,0.0225,0.0435,0.5161,6.06E-01,0.9746
CXCR4,0.0323,0.0625,0.516,6.06E-01,0.9746
C6orf35,-0.0218,0.0422,-0.5158,6.06E-01,0.9748
CD6,0.0306,0.0594,0.5157,6.06E-01,0.9748
CARD6,0.0304,0.0589,0.5156,6.06E-01,0.9749
VAV3,-0.0279,0.0542,-0.5153,6.07E-01,0.9751
SUFU,-0.0257,0.0499,-0.5151,6.07E-01,0.9751
SDF4,0.024,0.0466,0.5151,6.07E-01,0.9751
TM7SF3,0.0243,0.0472,0.515,6.07E-01,0.9751
FAM72A,-0.0331,0.0644,-0.515,6.07E-01,0.9751
SLC17A9,-0.0318,0.0617,-0.5149,6.07E-01,0.9751
SLC15A2,0.0312,0.0606,0.5145,6.07E-01,0.9754
C13orf27,-0.0236,0.0459,-0.5145,6.07E-01,0.9754
KIF20B,-0.0259,0.0504,-0.5144,6.07E-01,0.9754
ATP8A1,-0.0286,0.0556,-0.5142,6.07E-01,0.9754
TMEM30B,-0.0241,0.0468,-0.5142,6.07E-01,0.9754
C6orf94,-0.0306,0.0596,-0.5141,6.08E-01,0.9754
FLT1,-0.0267,0.052,-0.5141,6.08E-01,0.9754
MRPL37,0.0237,0.0461,0.514,6.08E-01,0.9754
TEKT5,-0.0338,0.0658,-0.514,6.08E-01,0.9754
CCDC129,-0.0328,0.0639,-0.5138,6.08E-01,0.9755
FILIP1,-0.0287,0.056,-0.5136,6.08E-01,0.9756
C4orf27,-0.0217,0.0423,-0.5136,6.08E-01,0.9756
COLEC10,0.0314,0.0612,0.5133,6.08E-01,0.9757
C17orf58,0.0258,0.0503,0.5132,6.08E-01,0.9757
SHANK2,-0.031,0.0604,-0.5131,6.08E-01,0.9757
EXOSC4,-0.0295,0.0576,-0.513,6.08E-01,0.9757
TM4SF20,0.0262,0.051,0.5129,6.08E-01,0.9757
SIRT1,0.0224,0.0437,0.5129,6.08E-01,0.9757
OGG1,-0.0237,0.0461,-0.5126,6.09E-01,0.9757
ZNF791,0.0233,0.0454,0.5126,6.09E-01,0.9757
PDZK1P1,-0.0376,0.0734,-0.5126,6.09E-01,0.9757
PCOLCE,-0.0302,0.0589,-0.5125,6.09E-01,0.9757
PDE8A,-0.0274,0.0535,-0.5125,6.09E-01,0.9757
RAB26,0.0332,0.0649,0.5125,6.09E-01,0.9757
MTRR,-0.0233,0.0454,-0.5125,6.09E-01,0.9757
C10orf114,0.0288,0.0561,0.5124,6.09E-01,0.9757
ZNF620,-0.026,0.0507,-0.5124,6.09E-01,0.9757
NGRN,0.022,0.0429,0.5122,6.09E-01,0.9758
AMY1A,0.0351,0.0686,0.5117,6.09E-01,0.9758
NALCN,0.0331,0.0646,0.5116,6.09E-01,0.9758
HAVCR1,0.0314,0.0614,0.5115,6.09E-01,0.9758
ONECUT3,0.0269,0.0525,0.5115,6.09E-01,0.9758
CMTM3,-0.0289,0.0566,-0.5113,6.09E-01,0.9758
LMAN2,-0.0261,0.051,-0.5112,6.10E-01,0.9758
CSDA,-0.0264,0.0516,-0.5112,6.10E-01,0.9758
SLC13A4,0.0315,0.0616,0.5111,6.10E-01,0.9758
PPP4R4,-0.0287,0.0561,-0.5111,6.10E-01,0.9758
ASNS,-0.0284,0.0556,-0.5111,6.10E-01,0.9758
GOLGA2,0.0237,0.0463,0.511,6.10E-01,0.9758
RRP1,-0.0256,0.05,-0.511,6.10E-01,0.9758
C9orf72,0.024,0.0469,0.511,6.10E-01,0.9758
AGMAT,0.0296,0.0579,0.5109,6.10E-01,0.9758
FRG2C,-0.0291,0.057,-0.5109,6.10E-01,0.9758
MYL6,0.0243,0.0476,0.5104,6.10E-01,0.9758
SNURF,0.0294,0.0577,0.5104,6.10E-01,0.9758
PRMT3,0.0233,0.0456,0.5104,6.10E-01,0.9758
DAB2IP,-0.0253,0.0496,-0.5104,6.10E-01,0.9758
C6orf153,0.0213,0.0417,0.5103,6.10E-01,0.9758
C8orf38,0.0229,0.0449,0.5103,6.10E-01,0.9758
TAB1,-0.0223,0.0437,-0.5103,6.10E-01,0.9758
L3MBTL3,0.025,0.0491,0.5102,6.10E-01,0.9758
TPRA1,-0.025,0.049,-0.5101,6.10E-01,0.9758
BCKDK,0.0258,0.0505,0.5101,6.10E-01,0.9758
HAX1,-0.0261,0.0512,-0.5096,6.11E-01,0.9758
RGPD3,0.031,0.0608,0.5095,6.11E-01,0.9758
PCDH18,-0.028,0.055,-0.5094,6.11E-01,0.9758
MAP3K9,0.0293,0.0576,0.5094,6.11E-01,0.9758
PGLYRP2,0.032,0.0628,0.5093,6.11E-01,0.9758
ABCA4,0.031,0.061,0.5091,6.11E-01,0.9758
CLEC4F,-0.0324,0.0636,-0.5091,6.11E-01,0.9758
MST4,0.0262,0.0516,0.5089,6.11E-01,0.9758
AK3L1,0.0283,0.0556,0.5089,6.11E-01,0.9758
C6orf127,0.0317,0.0623,0.5088,6.11E-01,0.9758
TTC7B,0.0259,0.0509,0.5087,6.11E-01,0.9758
KDM3B,0.0209,0.0411,0.5086,6.11E-01,0.9758
CRHR1,0.0288,0.0567,0.5086,6.11E-01,0.9758
FAM43A,-0.0291,0.0573,-0.5084,6.11E-01,0.9758
TMUB1,-0.0259,0.0509,-0.5084,6.12E-01,0.9758
CUL4B,-0.0212,0.0417,-0.5082,6.12E-01,0.9758
OS9,0.0223,0.0439,0.5082,6.12E-01,0.9758
CSNK2A2,0.0239,0.0469,0.5081,6.12E-01,0.9758
NEUROD2,0.0294,0.0579,0.5081,6.12E-01,0.9758
FAM169B,-0.0309,0.0609,-0.5081,6.12E-01,0.9758
ZMYM4,-0.0204,0.0401,-0.508,6.12E-01,0.9758
FAM86C,0.0267,0.0525,0.5076,6.12E-01,0.9758
DYRK3,-0.0261,0.0515,-0.5075,6.12E-01,0.9758
CARD16,0.0314,0.0618,0.5075,6.12E-01,0.9758
FAM171A2,-0.028,0.0552,-0.5074,6.12E-01,0.9758
EMP1,0.0288,0.0568,0.5074,6.12E-01,0.9758
SYPL1,0.022,0.0433,0.5074,6.12E-01,0.9758
PIGV,-0.0235,0.0464,-0.5073,6.12E-01,0.9758
SPATC1,0.0324,0.0639,0.507,6.12E-01,0.9758
GUCY1A2,0.0292,0.0576,0.5069,6.13E-01,0.9758
SNAPC4,-0.0232,0.0458,-0.5068,6.13E-01,0.9758
CST5,-0.0289,0.057,-0.5067,6.13E-01,0.9758
ZNF2,0.0223,0.0439,0.5067,6.13E-01,0.9758
FRMD7,0.026,0.0513,0.5066,6.13E-01,0.9758
MID1IP1,0.0249,0.0492,0.5065,6.13E-01,0.9758
MESDC2,0.0219,0.0432,0.5065,6.13E-01,0.9758
SERPINH1,0.0257,0.0508,0.5065,6.13E-01,0.9758
TNFRSF6B,0.0352,0.0696,0.5064,6.13E-01,0.9758
PLVAP,-0.033,0.0651,-0.5064,6.13E-01,0.9758
FZD10,-0.0306,0.0603,-0.5064,6.13E-01,0.9758
CCDC122,-0.028,0.0554,-0.5064,6.13E-01,0.9758
PCDHA3,0.0315,0.0622,0.5064,6.13E-01,0.9758
TMEM17,-0.0251,0.0496,-0.5063,6.13E-01,0.9758
PTRF,-0.0277,0.0548,-0.5063,6.13E-01,0.9758
TAL2,-0.0259,0.0512,-0.5063,6.13E-01,0.9758
CCL3L3,0.0286,0.0564,0.5063,6.13E-01,0.9758
SLC22A17,0.0283,0.0559,0.5063,6.13E-01,0.9758
VPS33B,0.022,0.0434,0.5062,6.13E-01,0.9758
AMOT,-0.0302,0.0597,-0.5061,6.13E-01,0.9758
C5orf51,0.0216,0.0426,0.506,6.13E-01,0.9758
ZNF92,-0.0242,0.0479,-0.5058,6.13E-01,0.9758
KHDRBS3,0.0307,0.0607,0.5058,6.13E-01,0.9758
FAM174B,0.0296,0.0586,0.5058,6.13E-01,0.9758
RTBDN,-0.0295,0.0583,-0.5058,6.13E-01,0.9758
DPY19L3,0.0236,0.0467,0.5057,6.13E-01,0.9758
GALNT5,0.0325,0.0643,0.5056,6.13E-01,0.9758
CHST13,0.0301,0.0596,0.5056,6.13E-01,0.9758
PRPF3,-0.0231,0.0456,-0.5056,6.13E-01,0.9758
LOC100132832,-0.0362,0.0717,-0.5054,6.14E-01,0.9758
SNRNP40,0.0231,0.0457,0.5054,6.14E-01,0.9758
MYO15A,-0.0293,0.0581,-0.5053,6.14E-01,0.9758
RHBDL2,0.0292,0.0578,0.5053,6.14E-01,0.9758
CCDC141,-0.0301,0.0596,-0.505,6.14E-01,0.9758
LOC401127,0.0321,0.0636,0.505,6.14E-01,0.9758
SERP1,0.0236,0.0468,0.505,6.14E-01,0.9758
EEF2,0.0276,0.0547,0.5048,6.14E-01,0.9758
MFN1,0.0224,0.0443,0.5046,6.14E-01,0.9758
TEX264,-0.0256,0.0507,-0.5046,6.14E-01,0.9758
FAH,0.0279,0.0552,0.5045,6.14E-01,0.9758
LPPR3,0.0324,0.0642,0.5045,6.14E-01,0.9758
ZNF675,0.0239,0.0474,0.5044,6.14E-01,0.9758
TUBA3D,0.0331,0.0656,0.5044,6.14E-01,0.9758
NAB2,0.0265,0.0525,0.5043,6.14E-01,0.9758
CMTM2,-0.0324,0.0642,-0.5043,6.14E-01,0.9758
LRRC14B,-0.0282,0.0559,-0.5043,6.14E-01,0.9758
HS3ST6,-0.0314,0.0623,-0.5042,6.14E-01,0.9758
C14orf104,-0.0216,0.0428,-0.5042,6.14E-01,0.9758
BCAS4,0.0336,0.0666,0.5041,6.15E-01,0.9758
ATP5G1,0.0258,0.0512,0.5041,6.15E-01,0.9758
ZNF416,0.0225,0.0447,0.5041,6.15E-01,0.9758
EDA,-0.0289,0.0573,-0.504,6.15E-01,0.9758
PIGR,0.0341,0.0677,0.5039,6.15E-01,0.9758
C19orf24,-0.0273,0.0542,-0.5038,6.15E-01,0.9758
BTG1,-0.0229,0.0455,-0.5038,6.15E-01,0.9758
RAGE,-0.0285,0.0566,-0.5037,6.15E-01,0.9758
CCDC37,-0.0321,0.0637,-0.5036,6.15E-01,0.9758
CHRNB3,0.0212,0.0422,0.5036,6.15E-01,0.9758
VPS26B,0.0221,0.0439,0.5036,6.15E-01,0.9758
TLE6,-0.0303,0.0602,-0.5035,6.15E-01,0.9758
FAM155A,-0.033,0.0655,-0.5035,6.15E-01,0.9758
ADPGK,0.0204,0.0405,0.5034,6.15E-01,0.9758
YIPF4,0.0215,0.0428,0.5033,6.15E-01,0.9758
GTF2IRD1,-0.0256,0.0508,-0.5032,6.15E-01,0.9759
ABL1,-0.0222,0.0441,-0.5029,6.15E-01,0.9761
RASSF5,0.0274,0.0545,0.5028,6.15E-01,0.9761
NELL1,0.0295,0.0588,0.5027,6.16E-01,0.9761
LMAN1,0.0221,0.0439,0.5027,6.16E-01,0.9761
HIST1H3C,0.032,0.0638,0.5024,6.16E-01,0.9761
GRIK1,-0.033,0.0658,-0.5024,6.16E-01,0.9761
LOC647288,-0.0309,0.0614,-0.5024,6.16E-01,0.9761
HIST1H2AD,-0.0279,0.0556,-0.5024,6.16E-01,0.9761
NID1,0.028,0.0558,0.5023,6.16E-01,0.9761
C17orf28,-0.0292,0.0581,-0.502,6.16E-01,0.9764
ADSSL1,-0.029,0.0578,-0.5018,6.16E-01,0.9764
CCDC78,0.0332,0.0661,0.5017,6.16E-01,0.9764
MC1R,-0.0294,0.0586,-0.5017,6.16E-01,0.9764
CLDN1,-0.0289,0.0576,-0.5016,6.16E-01,0.9764
LOC642587,-0.0316,0.063,-0.5016,6.16E-01,0.9764
C8A,-0.0287,0.0573,-0.5015,6.16E-01,0.9764
ACY3,0.0338,0.0674,0.5015,6.16E-01,0.9764
FAM8A1,-0.0234,0.0468,-0.5013,6.16E-01,0.9764
MAP3K13,-0.0286,0.0571,-0.5013,6.16E-01,0.9764
ANAPC2,-0.0251,0.0501,-0.5011,6.17E-01,0.9765
DCDC1,0.0309,0.0616,0.5011,6.17E-01,0.9765
GMIP,0.0242,0.0483,0.5009,6.17E-01,0.9765
DFNB31,-0.0273,0.0546,-0.5006,6.17E-01,0.9765
ICAM5,-0.0299,0.0598,-0.5006,6.17E-01,0.9765
RPS4X,-0.0245,0.049,-0.5004,6.17E-01,0.9765
TRPT1,-0.027,0.0539,-0.5004,6.17E-01,0.9765
VIL1,-0.0331,0.0661,-0.5004,6.17E-01,0.9765
C11orf30,0.0226,0.0451,0.5004,6.17E-01,0.9765
IFNAR2,0.0241,0.0481,0.5003,6.17E-01,0.9765
LOC728643,-0.0337,0.0674,-0.5002,6.17E-01,0.9765
PAFAH2,0.0239,0.0477,0.5002,6.17E-01,0.9765
WDR49,0.0314,0.0627,0.5002,6.17E-01,0.9765
NOX4,0.0287,0.0574,0.5001,6.17E-01,0.9765
PEX7,0.0228,0.0457,0.5001,6.17E-01,0.9765
RIMS1,-0.0295,0.0589,-0.5,6.17E-01,0.9765
TRIM67,-0.0294,0.0588,-0.4999,6.17E-01,0.9765
ZNF562,0.0239,0.0477,0.4998,6.18E-01,0.9765
C14orf174,0.0276,0.0552,0.4998,6.18E-01,0.9765
RALBP1,0.0227,0.0455,0.4997,6.18E-01,0.9766
LRP6,-0.0214,0.0429,-0.4996,6.18E-01,0.9766
ESRRG,-0.0289,0.0579,-0.4995,6.18E-01,0.9766
C9orf167,-0.0291,0.0583,-0.4991,6.18E-01,0.9767
IL3RA,-0.0279,0.0559,-0.4991,6.18E-01,0.9767
BCKDHB,0.0223,0.0447,0.4991,6.18E-01,0.9767
PDE6B,-0.03,0.0601,-0.4989,6.18E-01,0.9767
ST7OT3,-0.029,0.0582,-0.4988,6.18E-01,0.9767
PLA1A,0.0318,0.0637,0.4987,6.18E-01,0.9767
C6orf218,-0.0279,0.0559,-0.4985,6.18E-01,0.9767
LINGO4,0.0325,0.0653,0.4984,6.19E-01,0.9767
CHKB,-0.0245,0.0492,-0.4984,6.19E-01,0.9767
CRYM,0.0316,0.0634,0.4982,6.19E-01,0.9767
BTG3,-0.0241,0.0484,-0.4981,6.19E-01,0.9767
FGF12,-0.0298,0.0599,-0.498,6.19E-01,0.9767
BAIAP3,0.0318,0.0638,0.4979,6.19E-01,0.9767
RPP40,-0.0236,0.0473,-0.4978,6.19E-01,0.9767
HIST1H3I,0.0335,0.0674,0.4977,6.19E-01,0.9767
MORN2,-0.0266,0.0534,-0.4976,6.19E-01,0.9767
FIG4,-0.0208,0.0418,-0.4976,6.19E-01,0.9767
MAPKAPK3,0.0259,0.0521,0.4975,6.19E-01,0.9767
DSCR8,0.0285,0.0574,0.4974,6.19E-01,0.9767
PCDHGA2,0.0279,0.0561,0.4974,6.19E-01,0.9767
ZNF77,-0.0244,0.0491,-0.4974,6.19E-01,0.9767
TRA2B,0.0202,0.0407,0.4973,6.19E-01,0.9767
STXBP5,0.0253,0.0509,0.4972,6.19E-01,0.9767
PAIP2B,-0.0264,0.0532,-0.4972,6.19E-01,0.9767
FZR1,-0.0259,0.0522,-0.497,6.20E-01,0.9767
HDAC5,-0.0258,0.0519,-0.4968,6.20E-01,0.9767
SCARNA9,-0.0349,0.0702,-0.4967,6.20E-01,0.9767
CCL14,-0.0311,0.0627,-0.4966,6.20E-01,0.9767
DULLARD,0.0223,0.045,0.4965,6.20E-01,0.9767
SCARNA5,-0.032,0.0644,-0.4965,6.20E-01,0.9767
PRAM1,0.0289,0.0582,0.4964,6.20E-01,0.9767
ASB7,-0.0181,0.0365,-0.4964,6.20E-01,0.9767
ATP8A2,-0.0278,0.0559,-0.4964,6.20E-01,0.9767
ACCN1,-0.0325,0.0654,-0.4964,6.20E-01,0.9767
MPP1,0.028,0.0565,0.4963,6.20E-01,0.9767
CDKN2D,-0.0256,0.0517,-0.4961,6.20E-01,0.9767
TFAM,0.0221,0.0446,0.496,6.20E-01,0.9767
PHLDA3,0.0303,0.0611,0.496,6.20E-01,0.9767
APCS,-0.0202,0.0407,-0.496,6.20E-01,0.9767
C1orf55,0.0222,0.0448,0.496,6.20E-01,0.9767
C1orf194,-0.0326,0.0657,-0.4959,6.20E-01,0.9767
C2CD3,-0.0222,0.0447,-0.4958,6.20E-01,0.9767
RAB25,-0.0272,0.055,-0.4957,6.20E-01,0.9767
COPS5,-0.0203,0.041,-0.4956,6.21E-01,0.9767
SUV39H2,0.0231,0.0467,0.4956,6.21E-01,0.9767
CST4,-0.0332,0.067,-0.4954,6.21E-01,0.9767
PTPRR,-0.0313,0.0632,-0.4953,6.21E-01,0.9767
SUV420H2,-0.0263,0.0531,-0.4953,6.21E-01,0.9767
ANO10,-0.0263,0.0532,-0.4953,6.21E-01,0.9767
TPM3,0.0224,0.0453,0.4951,6.21E-01,0.9767
LOC401010,0.0308,0.0622,0.495,6.21E-01,0.9767
FGD6,0.0239,0.0483,0.4948,6.21E-01,0.9767
RPS21,0.0262,0.053,0.4947,6.21E-01,0.9767
NUDT4,-0.0306,0.0618,-0.4947,6.21E-01,0.9767
TXNL1,-0.023,0.0465,-0.4945,6.21E-01,0.9767
TPRXL,-0.03,0.0607,-0.4943,6.21E-01,0.9767
C20orf191,0.0314,0.0636,0.4943,6.21E-01,0.9767
MGLL,0.0304,0.0615,0.4943,6.21E-01,0.9767
LOC648691,-0.0281,0.0569,-0.4942,6.22E-01,0.9767
SLC1A5,0.0327,0.0661,0.4941,6.22E-01,0.9767
BCORL1,0.0251,0.0507,0.494,6.22E-01,0.9767
TMEM111,0.0223,0.0451,0.4938,6.22E-01,0.9767
VCAM1,0.029,0.0588,0.4938,6.22E-01,0.9767
LOC283267,-0.0265,0.0538,-0.4936,6.22E-01,0.9767
BHLHB9,-0.0228,0.0462,-0.4935,6.22E-01,0.9767
ABCC6P2,-0.0296,0.06,-0.4935,6.22E-01,0.9767
WFS1,-0.0297,0.0603,-0.4934,6.22E-01,0.9767
KRBA2,-0.0274,0.0554,-0.4934,6.22E-01,0.9767
NDFIP2,0.0212,0.043,0.4933,6.22E-01,0.9767
CTSL2,0.0325,0.066,0.4933,6.22E-01,0.9767
ZNF780A,-0.0196,0.0397,-0.4933,6.22E-01,0.9767
CCDC155,0.0304,0.0616,0.4931,6.22E-01,0.9767
RASSF6,-0.0271,0.0549,-0.4931,6.22E-01,0.9767
RGS5,-0.0281,0.0569,-0.493,6.22E-01,0.9767
AKD1,0.0258,0.0523,0.493,6.22E-01,0.9767
RRS1,-0.0237,0.0482,-0.493,6.22E-01,0.9767
TAF10,-0.0282,0.0572,-0.4929,6.22E-01,0.9767
ADRA2A,0.0294,0.0596,0.4929,6.22E-01,0.9767
PCK2,-0.0286,0.058,-0.4928,6.22E-01,0.9767
ZNF497,-0.0264,0.0536,-0.4927,6.23E-01,0.9767
OPA1,-0.0206,0.0419,-0.4925,6.23E-01,0.9767
FAM25B,0.0294,0.0597,0.4924,6.23E-01,0.9767
EID2B,-0.0243,0.0494,-0.4924,6.23E-01,0.9767
CWC27,-0.0208,0.0423,-0.4924,6.23E-01,0.9767
CDC34,-0.025,0.0508,-0.4923,6.23E-01,0.9767
ATP9B,-0.0258,0.0524,-0.4923,6.23E-01,0.9767
FAM124A,-0.0283,0.0574,-0.4923,6.23E-01,0.9767
PDCD2,0.0203,0.0412,0.4922,6.23E-01,0.9767
ENPP3,-0.0323,0.0656,-0.4922,6.23E-01,0.9767
MBTPS1,0.0201,0.0407,0.4922,6.23E-01,0.9767
TRAPPC3,0.0218,0.0442,0.4921,6.23E-01,0.9767
GRM8,0.0325,0.066,0.4921,6.23E-01,0.9767
DTHD1,0.0311,0.0632,0.4921,6.23E-01,0.9767
FGF5,-0.0313,0.0636,-0.4921,6.23E-01,0.9767
ROBO4,-0.0278,0.0565,-0.4921,6.23E-01,0.9767
PRLHR,-0.0267,0.0543,-0.492,6.23E-01,0.9767
G2E3,0.0215,0.0437,0.492,6.23E-01,0.9767
NFKB2,0.0279,0.0568,0.492,6.23E-01,0.9767
RPS26P11,-0.0361,0.0735,-0.4918,6.23E-01,0.9767
SGK269,0.0229,0.0466,0.4918,6.23E-01,0.9767
FDXR,0.0264,0.0537,0.4917,6.23E-01,0.9767
KLF12,-0.0272,0.0554,-0.4916,6.23E-01,0.9767
HIST1H2BH,-0.032,0.0651,-0.4916,6.23E-01,0.9767
POLR2E,0.0234,0.0477,0.4915,6.23E-01,0.9767
CHCHD2,0.0213,0.0434,0.4913,6.24E-01,0.9767
RNF183,0.0311,0.0633,0.4913,6.24E-01,0.9767
RASIP1,-0.0284,0.0578,-0.4913,6.24E-01,0.9767
FEM1B,0.0187,0.038,0.4913,6.24E-01,0.9767
SSTR5,0.0259,0.0529,0.4907,6.24E-01,0.977
PRDM7,-0.0283,0.0578,-0.4906,6.24E-01,0.977
BTD,0.025,0.0509,0.4905,6.24E-01,0.977
HAS2AS,-0.03,0.0611,-0.4905,6.24E-01,0.977
PJA1,0.0224,0.0456,0.4905,6.24E-01,0.977
SIGLEC6,0.0288,0.0588,0.4902,6.24E-01,0.977
TRIL,0.0265,0.0542,0.4902,6.24E-01,0.977
LBR,-0.0223,0.0454,-0.4901,6.24E-01,0.977
EVI5L,0.0244,0.0498,0.49,6.24E-01,0.977
C21orf121,0.0318,0.0649,0.4899,6.25E-01,0.977
HSP90AB2P,0.0334,0.0682,0.4899,6.25E-01,0.977
LANCL1,-0.0204,0.0416,-0.4898,6.25E-01,0.977
C14orf2,-0.0268,0.0546,-0.4897,6.25E-01,0.977
SNHG8,0.0264,0.0538,0.4896,6.25E-01,0.977
CCDC151,-0.0307,0.0627,-0.4896,6.25E-01,0.977
VAMP3,0.0213,0.0435,0.4896,6.25E-01,0.977
ADD3,-0.0237,0.0485,-0.4896,6.25E-01,0.977
MRPS28,0.0217,0.0444,0.4895,6.25E-01,0.977
LRRC24,0.0283,0.0578,0.4895,6.25E-01,0.977
ECT2,-0.0223,0.0457,-0.4895,6.25E-01,0.977
FMOD,0.0308,0.0629,0.4894,6.25E-01,0.977
MEIS3P1,0.0236,0.0483,0.4893,6.25E-01,0.977
IL1F5,0.0272,0.0556,0.4892,6.25E-01,0.977
P4HA2,0.0248,0.0507,0.4892,6.25E-01,0.977
KRT7,0.0297,0.0608,0.489,6.25E-01,0.977
SOX21,-0.0284,0.0582,-0.4889,6.25E-01,0.977
THAP6,0.0208,0.0426,0.4888,6.25E-01,0.977
KLK11,-0.0328,0.0671,-0.4887,6.25E-01,0.977
C6orf62,0.0211,0.0431,0.4886,6.25E-01,0.977
SYK,0.0259,0.0531,0.4886,6.25E-01,0.977
RDH13,-0.0254,0.052,-0.4885,6.25E-01,0.977
CLDN16,-0.0277,0.0567,-0.4884,6.26E-01,0.977
COL21A1,0.0313,0.0641,0.4883,6.26E-01,0.977
IPO5,0.0204,0.0417,0.4882,6.26E-01,0.977
MYL12B,-0.0219,0.0448,-0.4882,6.26E-01,0.977
LEO1,0.0208,0.0425,0.4881,6.26E-01,0.977
TP53INP1,0.0234,0.048,0.4881,6.26E-01,0.977
NAT8B,0.0296,0.0606,0.4881,6.26E-01,0.977
C1D,0.0207,0.0424,0.488,6.26E-01,0.977
LHX9,-0.0283,0.0581,-0.4879,6.26E-01,0.977
YSK4,0.0317,0.0651,0.4879,6.26E-01,0.977
ADAD2,0.0309,0.0634,0.4879,6.26E-01,0.977
CYP4F3,-0.0308,0.0632,-0.4876,6.26E-01,0.977
MAP6,0.0296,0.0608,0.4876,6.26E-01,0.977
PCP4,0.0304,0.0623,0.4876,6.26E-01,0.977
LAG3,0.0297,0.0608,0.4875,6.26E-01,0.977
C6orf52,-0.0252,0.0516,-0.4872,6.26E-01,0.9772
TPST2,0.029,0.0595,0.4872,6.26E-01,0.9772
BPHL,-0.023,0.0473,-0.4869,6.27E-01,0.9773
SELM,0.0297,0.061,0.4868,6.27E-01,0.9773
LOC284749,0.0294,0.0605,0.4868,6.27E-01,0.9773
C2orf44,0.0206,0.0424,0.4867,6.27E-01,0.9773
LSS,0.0257,0.0529,0.4865,6.27E-01,0.9773
NKD2,-0.0311,0.0639,-0.4864,6.27E-01,0.9773
CGB5,-0.033,0.0678,-0.4864,6.27E-01,0.9773
ATF3,0.0286,0.0587,0.4864,6.27E-01,0.9773
BUB1B,-0.0241,0.0495,-0.4863,6.27E-01,0.9773
KIN,-0.0202,0.0415,-0.4862,6.27E-01,0.9773
DYDC1,-0.0299,0.0614,-0.4861,6.27E-01,0.9773
IDO2,0.03,0.0618,0.4861,6.27E-01,0.9773
BAP1,-0.0225,0.0463,-0.4858,6.27E-01,0.9773
HOXA5,-0.0309,0.0637,-0.4855,6.28E-01,0.9773
GDAP1,-0.025,0.0514,-0.4854,6.28E-01,0.9773
CCDC104,-0.0235,0.0485,-0.4854,6.28E-01,0.9773
SLC25A20,0.0236,0.0486,0.4853,6.28E-01,0.9773
NDUFAF4,0.0227,0.0468,0.4853,6.28E-01,0.9773
SARDH,0.0325,0.0671,0.4853,6.28E-01,0.9773
FBXO2,0.0308,0.0635,0.4852,6.28E-01,0.9773
OSGEP,-0.0241,0.0497,-0.4852,6.28E-01,0.9773
LOC645323,-0.0301,0.062,-0.485,6.28E-01,0.9773
ZNF586,-0.0249,0.0513,-0.4849,6.28E-01,0.9773
TULP2,-0.03,0.0619,-0.4849,6.28E-01,0.9773
UCN2,0.031,0.064,0.4848,6.28E-01,0.9773
